absolute_path,bytes,sha256,file_type,classification,reason,public_destination,existing_repo_match
"/home/baisound/task054-r6b/models/Qwen3-8B-b968826d9c46dd6066d109eabc6255188de91218/model-00001-of-00005.safetensors","3996250744","31d6a825ae35f11fb85b195b4c42c146c051e446433125a215336abdf95cbf5f","SAFETENSORS","THIRD_PARTY_DEPENDENCY","third_party_model_not_approved_for_redistribution","","NO"
"/home/baisound/task054-r6b/models/Qwen3-8B-b968826d9c46dd6066d109eabc6255188de91218/model-00002-of-00005.safetensors","3993160032","5991236cea6fe21f3d43cab0f0e84448734fbbe0789816202989f2ddc9d18282","SAFETENSORS","THIRD_PARTY_DEPENDENCY","third_party_model_not_approved_for_redistribution","","NO"
"/home/baisound/task054-r6b/models/Qwen3-8B-b968826d9c46dd6066d109eabc6255188de91218/model-00004-of-00005.safetensors","3187841392","b5ee7de71fbf17db3d5704e0c8f2bc7d005ca9e1d7ca2aeb19827b0cfcaa917a","SAFETENSORS","THIRD_PARTY_DEPENDENCY","third_party_model_not_approved_for_redistribution","","NO"
"/home/baisound/task054-r6b/models/Qwen3-8B-b968826d9c46dd6066d109eabc6255188de91218/model-00005-of-00005.safetensors","1244659840","20c2d6366ab85c90786ccdd829cd2b9e7d30ef3b2ebbb998280e7e4014b542ff","SAFETENSORS","THIRD_PARTY_DEPENDENCY","third_party_model_not_approved_for_redistribution","","NO"
"/home/baisound/task054-r6b/models/Qwen3-8B-b968826d9c46dd6066d109eabc6255188de91218/model-00003-of-00005.safetensors","3959604768","c5185c4794be2d8a9784d5753c9922db38df478ce11f9ed0b415b7304d896836","SAFETENSORS","THIRD_PARTY_DEPENDENCY","third_party_model_not_approved_for_redistribution","","NO"
"/home/baisound/BAI_AI/BAISOUND_VOICE_MODEL/models/candidates/gpt/BAISOUND_TASK097_V1-e10.ckpt","134","810d3d5501a6f7079ecf29a921f7816cc93fdf64e8ae7eeb4d6e77d8284b7918","CKPT","PUBLIC_MODEL_CANDIDATE","existing_public_repository_lfs_pointer","","LFS_POINTER_PRESENT"
"/home/baisound/BAI_AI/BAISOUND_VOICE_MODEL/models/candidates/gpt/BAISOUND_TASK097_V1-e5.ckpt","134","6b661bc36a5720123762131d0e393f8c0d949d983e04c3ec7c411e0b528f0a80","CKPT","PUBLIC_MODEL_CANDIDATE","existing_public_repository_lfs_pointer","","LFS_POINTER_PRESENT"
"/home/baisound/BAI_AI/BAISOUND_VOICE_MODEL/models/candidates/gpt/BAISOUND_TASK097_V1-e15.ckpt","134","4042e0d7e83ce2640e44d2e900e35249290faeefaac11b0ff3140b234b932472","CKPT","PUBLIC_MODEL_CANDIDATE","existing_public_repository_lfs_pointer","","LFS_POINTER_PRESENT"
"/home/baisound/BAI_AI/BAISOUND_VOICE_MODEL/models/candidates/sovits/BAISOUND_TASK097_V1_e4_s200.pth","134","9ac7f8c0a24e6c78082343d5aeb5d079d1b61d3fb05f8af744d3e526a5c6fd10","PTH","PUBLIC_MODEL_CANDIDATE","existing_public_repository_lfs_pointer","","LFS_POINTER_PRESENT"
"/home/baisound/BAI_AI/BAISOUND_VOICE_MODEL/models/candidates/sovits/BAISOUND_TASK097_V1_e6_s300.pth","134","fbff30cb9086a5fcf105bb376bcefe5b5cc2f313595d8753be92f917701ecbad","PTH","PUBLIC_MODEL_CANDIDATE","existing_public_repository_lfs_pointer","","LFS_POINTER_PRESENT"
"/home/baisound/BAI_AI/BAISOUND_VOICE_MODEL/models/candidates/sovits/BAISOUND_TASK097_V1_e2_s100.pth","134","c257dcb83aa3e93e16402e291a621b4c6abdd37d94f4caafd5ff76d6956caf02","PTH","PUBLIC_MODEL_CANDIDATE","existing_public_repository_lfs_pointer","","LFS_POINTER_PRESENT"
"/home/baisound/BAI_AI/BAISOUND_VOICE_MODEL/models/candidates/sovits/BAISOUND_TASK097_V1_e8_s400.pth","134","fcae4722b7ce16d72f74db510d597b9015d7256e9c7c5b88e8d6aea0024cf1e9","PTH","PUBLIC_MODEL_CANDIDATE","existing_public_repository_lfs_pointer","","LFS_POINTER_PRESENT"
"/home/baisound/BAI_AI/task097_gptsovits/training_runs/task097-dual-v2-20260920/runtime_init/BAISOUND_TASK097_V1_e4_s200_TRAININIT_PK.pth","134946675","872a0f5881af00cb9d78b9da80253d95ace8a61d02e50fd6b94e715f0a566fb6","PTH","INTERNAL_MODEL_ARTIFACT","unapproved_training_or_runtime_artifact","","NO"
"/home/baisound/BAI_AI/task097_gptsovits/GPT-SoVITS/SoVITS_weights_v2Pro/BAISOUND_TASK097_V2_WARM_e4_s192.pth","134946675","df878f474b3f8ecd8c9532b29abfb91fd29e423be658c7f5dfa66c9115dcc4e2","PTH","INTERNAL_MODEL_ARTIFACT","validation_quality_gate_failed_noise","","NO"
"/home/baisound/BAI_AI/task097_gptsovits/GPT-SoVITS/SoVITS_weights_v2Pro/BAISOUND_TASK097_V2_WARM_e2_s96.pth","134946675","b5e9fdc615c7f7870344ac44ff4c83881687cd44a7a2c59c41a99c1e013c3393","PTH","INTERNAL_MODEL_ARTIFACT","validation_quality_gate_failed_noise","","NO"
"/home/baisound/BAI_AI/task097_gptsovits/GPT-SoVITS/SoVITS_weights_v2Pro/BAISOUND_TASK097_V2_WARM_e8_s384.pth","134946675","d511a8c21400c59b9f78b6b4dfb5723d65748a44266c94b9a570bced1b172e6c","PTH","INTERNAL_MODEL_ARTIFACT","validation_quality_gate_failed_noise","","NO"
"/home/baisound/BAI_AI/task097_gptsovits/GPT-SoVITS/SoVITS_weights_v2Pro/BAISOUND_TASK097_V1_e4_s200.pth","134946675","107f8bd79e23dceb301ccf50e2114e4880c84c092bc7fe117aa3d1bdc0c1033d","PTH","PUBLIC_MODEL_CANDIDATE","authoritative_copy_of_existing_public_candidate","models/candidates/v1/sovits/baisound-voice-v1-sovits-epoch04-step0200.pth","SHA256_MATCH"
"/home/baisound/BAI_AI/task097_gptsovits/GPT-SoVITS/SoVITS_weights_v2Pro/BAISOUND_TASK097_V2_FRESH_e2_s96.pth","134946675","aa44df87c2f029e16585a4946944208635c572c744ede702e186f01b008f4cf3","PTH","INTERNAL_MODEL_ARTIFACT","unapproved_training_or_runtime_artifact","","NO"
